,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,"[  9.99995263e+01   4.16756053e-01   4.41316816e-05   1.54419685e-01
   9.97645680e-01   9.81162582e-01   9.99288431e+00   2.66262045e-02
   1.07188730e-01   2.49939124e+01   1.04168535e-02   5.00000027e+04
   2.29722621e+01   3.33322978e+02   9.72767090e-03]","[  9.99036551e+01   5.83305446e-01   3.50874570e-05   2.60418915e-01
   9.61855241e-01   1.71047238e+00   4.88495986e+00   7.93313688e-02
   1.82305547e-01   1.33110740e+01   2.82005891e-01   4.99977041e+04
   2.03692904e+01   3.35379401e+02   1.39059766e-02]","[  9.99784539e+01   4.30571298e-01   3.83520854e-05   1.44760812e-01
   9.88170743e-01   2.11102264e+00   1.62703924e+00   1.57531103e-01
   1.31612407e-01   1.14020813e+01   5.93205053e-01   4.99992487e+04
   1.59158836e+01   3.45812494e+02   1.44418862e-02]","[  9.99998497e+01   3.00212594e-01   6.60665563e-05   4.98686694e-02
   9.99980279e-01   1.00008937e+00   1.00000062e+01   1.37536819e-02
   9.99346183e-02   2.49999811e+01   1.06197405e-02   4.99999999e+04
   2.30000052e+01   3.33333340e+02   9.98576932e-03]","[  1.01124693e+02   4.07999497e-01   1.04308623e-04   5.08537871e-02
   1.03647385e+00   3.32240070e+00   3.38173861e-01   6.26983454e-01
   9.98497816e-02   1.95737120e+01   8.46595076e-01   5.01016104e+04
   1.15159875e+01   3.60577939e+02   2.79740027e-03]","[  9.92162202e+01   1.29918768e+00   3.20608466e-05   4.41805612e-01
   6.18538282e-01   7.92067212e-04   1.03788893e+01   5.09509134e-02
   2.04434590e-01   2.53639163e+01   3.43255617e-02   5.00218031e+04
   2.09450126e+01   3.32949422e+02   2.34325798e-03]","[  9.41535470e+01   3.39632567e-01   9.65012282e-05   5.14063763e-02
   1.12176130e+00   1.34655370e+00   4.47982356e+00   1.01591240e-01
   1.76859063e-01   1.20653359e+01   2.56766530e-01   5.03797689e+04
   1.71446913e+01   3.14776744e+02   1.00140402e-03]","[  9.99876371e+01   4.62972185e-01   4.10143562e-05   1.20801361e-01
   9.98962784e-01   1.98116894e+00   1.48238130e+00   8.94653718e-02
   9.53602177e-02   9.29348786e+00   7.82291429e-01   4.99991572e+04
   1.59734812e+01   3.41884489e+02   1.40518045e-02]","[  9.99794838e+01   2.94729152e-01   1.06243157e-04   4.84718500e-02
   9.89402683e-01   9.89547763e-01   9.99122037e+00   2.91434741e-02
   1.01555273e-01   2.49948909e+01   2.66005002e-02   4.99999753e+04
   2.29991438e+01   3.33330079e+02   1.04091475e-02]","[  9.96375096e+01   6.05313950e-01   4.44031697e-05   1.41128897e-01
   1.02116360e+00   1.12806206e+00   4.72597156e-01   3.47707820e-01
   1.16587208e-01   2.31835196e+01   1.23131787e+00   5.00316950e+04
   2.05821226e+01   3.67646335e+02   2.80278046e-02]","[  9.99999177e+01   3.21056063e-01   7.13207037e-05   4.90306482e-02
   1.00672069e+00   1.00681537e+00   1.00203121e+01   1.68199216e-02
   1.21667690e-01   2.50006889e+01   2.21858584e-02   5.00000062e+04
   2.30124544e+01   3.33333447e+02   1.05337309e-02]","[  9.99998119e+01   3.00271340e-01   7.26395449e-05   4.98410371e-02
   9.99993390e-01   1.00012779e+00   1.00000079e+01   1.69377744e-02
   9.99116578e-02   2.49999915e+01   1.10089632e-02   4.99999998e+04
   2.30000071e+01   3.33333336e+02   1.00007572e-02]","[  1.00520579e+02   2.78026314e-01   2.19288388e-04   6.35200022e-02
   1.00389099e+00   5.48849881e+00   1.51679301e+01   6.07086047e-02
   8.09606140e-02   1.69569655e+01   5.42476581e-01   4.99978277e+04
   1.39417700e+01   2.43762109e+02   2.64978494e-01]","[  9.99188679e+01   5.98218360e-01   2.57305583e-05   2.60019525e-01
   9.92883225e-01   1.04231271e-01   1.03634217e+01   4.37691173e-02
   1.17684351e-01   6.46144668e+01   2.59418617e-01   4.99907966e+04
   1.36354685e+01   2.33146084e+02   1.19214065e-01]","[  1.00177349e+02   6.83565897e-01   4.43707156e-05   1.13035044e-01
   9.56451851e-01   3.92384546e-01   1.60038863e+01   1.57883714e-02
   1.21275918e-01   2.76020929e+01   3.09312192e-01   5.02448475e+04
   1.38219259e+01   3.34001784e+02   1.38228911e-02]","[  1.05376474e+02   7.56576244e-01   3.32226624e-05   1.86841511e-01
   1.19400044e+00   2.11001179e+00   6.26601170e+00   7.30773926e-02
   2.05171192e-01   2.86933913e+00   1.16502080e+00   4.98457129e+04
   9.93362972e+00   3.42621921e+02   1.11690331e-01]","[  9.96011403e+01   8.09286150e-01   8.77858983e-05   1.13386815e-01
   1.00930998e+00   1.00873934e-01   1.09460342e+01   3.40139929e-02
   1.40844858e-01   2.54632465e+01   7.95633205e-01   5.00066174e+04
   2.23945395e+01   3.33375137e+02   2.26838651e-02]","[  7.50227937e+01   7.68179767e-01   1.20145713e-04   7.25547912e-02
   7.22136066e-01   1.17573578e+00   5.16212219e-01   2.64692214e-01
   1.06392217e-01   3.56456139e+01   2.65345125e-01   4.48432849e+04
   1.40421059e+01   4.94223586e+02   6.32819162e-03]","[  9.98895649e+01   3.05675758e-01   2.54473376e-04   3.54782672e-02
   1.15656740e+00   7.84676144e-01   2.19952615e-01   1.50696203e-06
   3.54173113e-04   4.59875697e+01   2.68364658e-01   4.93516885e+04
   2.29198301e+01   3.71775525e+02   1.28443771e-03]","[  1.00001237e+02   3.14089214e-01   1.22888820e-04   9.71053645e-02
   1.00035589e+00   9.97635368e-01   9.99413965e+00   4.65086594e-02
   6.46814059e-02   2.49950040e+01   1.43762187e-02   5.00000089e+04
   2.29944520e+01   3.33329447e+02   1.15483902e-02]","[  8.25803941e+01   7.00860296e-01   1.22859096e-04   7.50632506e-02
   1.49409172e+00   2.11677530e+00   4.36140683e+00   2.20832088e-02
   8.96674190e-02   3.99077460e+00   1.82811078e-01   5.10292119e+04
   1.75582655e+01   3.67504698e+02   2.06476536e-02]","[  9.99071232e+01   7.31156078e-01   6.88231376e-05   1.73376848e-01
   1.07236682e+00   4.72696155e-02   9.53398556e+00   1.04616413e-01
   2.46689229e-01   2.49291059e+01   6.27712332e-01   4.99936846e+04
   1.98849582e+01   3.33544551e+02   1.30639537e-01]","[  9.80417874e+01   5.67725778e-01   2.79385563e-04   5.69616063e-02
   2.19726654e+00   1.13300765e-01   8.90366977e+00   1.38258380e-01
   2.08725169e-01   2.51699063e+01   7.47886361e-01   5.00049059e+04
   2.26258360e+01   3.20607040e+02   4.68683020e-01]","[  1.00000519e+02   4.39301751e-01   9.11691137e-05   4.99901696e-02
   9.99669746e-01   2.16883734e+00   1.00640944e+00   2.39680115e-02
   1.00000442e-01   9.03331822e+00   7.28604831e-01   5.00012801e+04
   1.50280599e+01   3.58848587e+02   1.00046872e-02]","[  9.99767124e+01   2.87118062e-01   1.28584761e-04   4.18848972e-02
   9.98975628e-01   9.86854366e-01   9.99923576e+00   2.98137715e-02
   9.53333539e-02   2.49996821e+01   6.43441227e-03   4.99999908e+04
   2.29995079e+01   3.33312877e+02   9.44710639e-03]"
1,"[  9.25854996e+01   7.15347897e-01   2.45820741e-05   3.69675951e-01
   5.51086554e-03   2.53772852e+01   8.17528264e-03   9.22731904e-02
   2.12939480e+01   9.16010912e-02   4.95944440e+04   2.52150376e+01
   3.49982249e+02   2.45618356e-02]","[  9.98385265e+01   4.32864190e-01   1.35631532e-03   4.44771645e-03
   1.93469620e+00   1.92065456e-01   4.91965290e-02   6.13094128e-02
   2.36769352e+01   4.31831573e-01   4.99998982e+04   1.58178420e+01
   3.34355040e+02   6.82390905e-04]","[  9.99996766e+01   3.03144889e-01   1.63727905e-04   3.80204646e-02
   1.00172557e+00   1.00036278e+01   2.56508121e-02   7.35427732e-02
   2.49973231e+01   2.13427918e-02   4.99999998e+04   2.30008526e+01
   3.33333301e+02   9.79504931e-03]","[  9.99998558e+01   3.00229391e-01   6.79097952e-05   4.98710181e-02
   1.00009963e+00   1.00000060e+01   1.36724804e-02   9.99376542e-02
   2.49999963e+01   1.06168309e-02   4.99999999e+04   2.30000058e+01
   3.33333340e+02   9.98562230e-03]","[  9.99596738e+01   4.65528379e-01   1.65495814e-04   3.84103205e-02
   1.94348386e+00   4.26519674e-01   1.38577012e-01   2.26663410e-02
   2.29732114e+01   5.24473775e-01   5.00016964e+04   1.48224005e+01
   3.35352129e+02   1.92343380e-02]","[  1.00004177e+02   3.37550042e-01   6.09946635e-05   6.59307469e-02
   3.80060893e-03   2.02000126e+01   1.43461780e-02   5.37646967e-02
   3.79521451e+01   5.75775497e-03   5.00149303e+04   1.08637097e+01
   2.82540183e+02   3.36792181e-02]","[  9.86053194e+01   9.32226087e-01   2.56281786e-05   3.08518920e-01
   1.57846798e+00   6.06033487e-01   3.44603896e-01   1.21550408e-01
   2.29083958e+01   1.04912192e+00   5.00019697e+04   1.27723788e+01
   2.81398882e+02   3.20013106e-02]","[  9.95001517e+01   5.00629859e-01   5.67056244e-05   9.05481364e-02
   1.98870358e+00   6.58212437e-01   2.48432204e-01   1.06279812e-01
   2.04487810e+01   1.65586633e+00   5.00087629e+04   1.45896779e+01
   3.34404375e+02   3.25701309e-02]","[  1.00003969e+02   2.98374184e-01   1.11174380e-04   4.80026747e-02
   1.00133857e+00   9.99959986e+00   2.94907352e-02   1.00040343e-01
   2.49990276e+01   1.49638280e-02   5.00000030e+04   2.29977305e+01
   3.33332695e+02   1.29663963e-02]","[  9.16578965e+01   5.27804189e-01   1.78360125e-04   3.40913565e-02
   1.80296886e+00   3.52478371e-01   2.29921231e-01   4.34435703e-02
   2.24630371e+01   3.11899374e-01   4.88895143e+04   1.41517327e+01
   3.51044661e+02   7.13986152e-03]","[  9.99929721e+01   3.28141806e-01   8.89539551e-05   4.26645669e-02
   9.87828872e-01   9.99468516e+00   2.11595468e-02   1.36177041e-01
   2.49985437e+01   1.89415435e-02   4.99999996e+04   2.29932438e+01
   3.33333423e+02   9.36188313e-03]","[  1.00011118e+02   4.12108968e-01   1.00290317e-04   4.94622541e-02
   1.49027518e+00   6.61867231e+00   1.84682359e-02   9.93008023e-02
   2.14492085e+01   3.93049345e-01   4.99993689e+04   2.01054583e+01
   3.32962278e+02   7.48443229e-02]","[  1.04898055e+02   3.56507842e-01   4.84786942e-05   1.13271866e-01
   2.35386185e+00   2.17903632e+00   1.31248242e-01   7.96135496e-02
   2.91580723e+01   3.51988087e-01   4.86750450e+04   1.31626869e+01
   3.01237582e+02   1.12618610e-01]","[  9.11564118e+01   4.05532343e-01   4.46579082e-05   1.53301221e-01
   6.55862127e-03   2.06854041e+01   1.28188898e-02   9.94622807e-02
   2.41381743e+01   2.33288301e-02   4.98285234e+04   2.68600371e+01
   3.54158768e+02   3.47509392e-02]","[  1.00029989e+02   5.42975109e-01   2.86454624e-05   3.16363945e-01
   2.60350536e-02   1.97812440e+01   3.17521751e-02   2.15304148e-01
   2.62821099e+01   1.51539142e-01   4.99988488e+04   2.74774873e+01
   3.05618830e+02   4.49655769e-03]","[  9.99425984e+01   4.97570295e-01   3.46172700e-05   1.66295090e-01
   1.95686640e+00   4.82706017e-01   1.95241236e-01   4.89287409e-02
   2.32827786e+01   5.23387873e-01   5.00001320e+04   1.49208738e+01
   3.29725974e+02   3.27566106e-03]","[  9.99983182e+01   2.63778246e-01   1.66706035e-04   2.96156531e-02
   4.52361931e-03   1.81429617e+01   1.76418210e-02   7.79415909e-02
   3.18827089e+01   5.63865888e-02   4.99997874e+04   2.28974423e+01
   3.61060037e+02   1.00030460e-02]","[  9.99025594e+01   7.30876438e-01   4.45567652e-05   2.87551557e-01
   8.29523621e-02   2.05013412e+01   1.57538108e-02   8.60930437e-02
   1.90799124e+01   3.70023221e-02   5.00004083e+04   2.29455535e+01
   4.01465643e+02   1.02572094e-02]","[  1.03323477e+02   4.23560185e-01   4.74202349e-05   2.53146643e-01
   5.26249590e-02   2.08584326e+01   8.38256808e-03   2.75767375e-02
   1.92578254e+01   4.66560935e-02   4.92829296e+04   2.25717375e+01
   3.71240079e+02   8.21782066e-02]","[  1.00001046e+02   3.14801465e-01   1.19074840e-04   9.83336687e-02
   9.97540357e-01   9.99513036e+00   4.68614443e-02   6.67652958e-02
   2.49989240e+01   1.48845526e-02   5.00000084e+04   2.29959098e+01
   3.33331927e+02   1.08342293e-02]","[  1.01361329e+02   3.87652509e-01   3.32242136e-04   4.62684923e-02
   1.29838035e+01   6.06512341e-01   1.88094803e-01   4.24236948e-01
   1.39113817e+01   1.25752034e+00   4.97945284e+04   1.44157405e+01
   3.51228288e+02   4.13465882e-01]","[  9.99207627e+01   4.97641835e-01   1.77132064e-04   2.68619559e-02
   1.79818444e+00   4.03092866e-01   1.00412290e-01   1.20282535e-02
   2.49045083e+01   5.49581559e-01   4.99945458e+04   8.63030664e+00
   3.57397773e+02   2.10580850e-02]","[  1.00007549e+02   3.02803993e-01   1.46214067e-04   4.02717368e-02
   4.12893637e-03   2.16075491e+01   1.68618419e-02   6.23786327e-02
   2.82405778e+01   4.13338940e-02   5.00027510e+04   1.67072796e+01
   3.08358326e+02   9.80000776e-03]","[  9.99998129e+01   3.00286522e-01   8.69535432e-05   4.98555702e-02
   1.00012186e+00   1.00000087e+01   1.78787444e-02   9.99076353e-02
   2.49999958e+01   1.08981294e-02   4.99999999e+04   2.30000068e+01
   3.33333334e+02   9.99807668e-03]","[  1.00010533e+02   3.04096594e-01   1.27730787e-04   4.38457934e-02
   1.00579039e+00   1.00011152e+01   2.82707692e-02   9.33077439e-02
   2.49999374e+01   3.97964619e-02   5.00000163e+04   2.29992645e+01
   3.33332027e+02   1.01712548e-02]"
2,"[  1.00200401e+02   7.76211283e-01   5.31693008e-04   1.70941865e-02
   1.43805641e+00   6.92728892e+00   1.48377186e-03   5.49378674e-02
   2.63478251e+01   1.10566015e+01   4.99998417e+04   1.86491831e+01
   3.02826313e+02   9.73952914e-03]","[  9.99996088e+01   3.02949469e-01   8.82576888e-05   7.76984926e-02
   9.98972097e-01   9.99865560e+00   2.66108849e-02   6.78705026e-02
   2.49994716e+01   1.00513760e-02   4.99999998e+04   2.29962716e+01
   3.33332253e+02   9.90004230e-03]","[  9.99997809e+01   3.00297488e-01   9.03034186e-05   4.98346401e-02
   1.00016882e+00   1.00000113e+01   1.92414323e-02   9.99025993e-02
   2.50000005e+01   1.00764221e-02   4.99999998e+04   2.30000083e+01
   3.33333334e+02   9.99756642e-03]","[  1.00004503e+02   2.76748463e-01   8.77960725e-05   4.95165340e-02
   9.97002015e-01   9.99982199e+00   2.48886688e-02   9.91985369e-02
   2.49998682e+01   1.13790002e-02   5.00000149e+04   2.29993046e+01
   3.33333096e+02   9.73075323e-03]","[  9.99998078e+01   3.00215790e-01   8.04668876e-05   4.98508621e-02
   1.00014962e+00   1.00000043e+01   1.75182215e-02   9.99547421e-02
   2.49999998e+01   1.00248694e-02   4.99999999e+04   2.30000065e+01
   3.33333333e+02   9.99863253e-03]","[  9.99555512e+01   5.92075366e-01   3.35439595e-04   2.82386560e-02
   1.18540804e+00   1.03175775e+01   1.87896562e-06   2.79219791e-02
   2.49858997e+01   8.76585949e+00   4.99996994e+04   2.34628127e+01
   3.33412978e+02   4.56325052e-06]","[  9.99997340e+01   3.00195967e-01   1.05468453e-04   4.98207425e-02
   1.00023760e+00   1.00000032e+01   2.87489815e-02   9.99635353e-02
   2.49999994e+01   1.00359869e-02   4.99999998e+04   2.30000079e+01
   3.33333334e+02   9.99636517e-03]","[  1.00269462e+02   3.81309138e-01   1.50463345e-04   5.61012728e-02
   8.09444588e-01   9.99768610e+00   3.65403840e-02   8.92551115e-02
   2.49982965e+01   1.71809213e-02   5.00003844e+04   2.29857906e+01
   3.33314884e+02   5.82431243e-02]","[  9.99998262e+01   3.00204766e-01   7.48256736e-05   4.98551929e-02
   1.00013812e+00   1.00000035e+01   1.58808701e-02   9.99631573e-02
   2.49999998e+01   1.00216761e-02   4.99999999e+04   2.30000063e+01
   3.33333333e+02   9.93286330e-03]","[  9.99998034e+01   3.00224863e-01   7.96785856e-05   4.98473010e-02
   1.00015253e+00   1.00000044e+01   1.78840159e-02   9.99531326e-02
   2.49999994e+01   1.00251477e-02   4.99999998e+04   2.30000067e+01
   3.33333333e+02   9.99857424e-03]","[  9.99997705e+01   3.00479526e-01   1.03679369e-04   4.31469434e-02
   1.00042529e+00   1.00009110e+01   2.22766439e-02   9.82064924e-02
   2.49998964e+01   1.05769927e-02   4.99999998e+04   2.30005437e+01
   3.33333343e+02   9.95526418e-03]","[  9.99998371e+01   3.00204894e-01   7.49999541e-05   4.98665505e-02
   1.00011385e+00   1.00000050e+01   1.35097395e-02   9.99483999e-02
   2.49999997e+01   1.00357444e-02   4.99999999e+04   2.30000058e+01
   3.33333335e+02   9.90420526e-03]","[  9.99997809e+01   3.00231965e-01   8.77057134e-05   4.98374550e-02
   1.00017195e+00   1.00000052e+01   2.02932033e-02   9.99441692e-02
   2.49999997e+01   1.00284807e-02   4.99999998e+04   2.30000072e+01
   3.33333373e+02   9.87446723e-03]","[  1.00289374e+02   5.98567514e-01   1.28891249e-04   5.59759687e-02
